year_month,price,age,dist_to_mrt,no_stores
2013-06,33.4,4,2147.376,3
2013-06,29.7,18.1,837.7233,0
2013-06,41.4,13.7,250.631,7
2013-06,38.1,26.4,335.5273,6
2013-06,23.2,16.5,2288.011,3
2013-06,38.4,38.3,439.7105,0
2013-06,50.2,14.4,169.9803,1
2013-06,62.1,4.1,56.47425,7
2013-06,41.2,34.6,3085.17,0
2013-06,31.3,4.1,2147.376,3
2013-06,24.7,5.6,2408.993,0
2013-06,48,32.3,109.9455,10
2013-06,51.7,4.1,312.8963,5
2013-06,27.3,10.4,2251.938,4
2013-06,38.6,32.8,377.8302,9
2013-06,24.7,32.6,4136.271,1
2013-06,63.9,6.5,90.45606,9
2013-07,47.3,13.3,561.9845,5
2013-07,50.5,35.7,579.2083,2
2013-07,53.9,2.7,533.4762,4
2013-07,61.5,35.9,640.7391,3
2013-07,27,32.1,1438.579,3
2013-07,55,2.6,533.4762,4
2013-07,59,6.6,90.45606,9
2013-07,36.3,32.5,424.5442,8
2013-07,36.8,35.9,616.4004,3
2013-07,18.3,16.9,4066.587,0
2013-07,28.4,4,2147.376,3
2013-07,39.4,33.3,196.6172,7
2013-07,18.3,30.7,1264.73,0
2013-07,58.1,6.6,90.45606,9
2013-07,20.9,18.1,1783.18,3
2013-07,48.5,30.6,431.1114,10
2013-07,19,31,1156.412,0
2013-07,51,16.6,323.6912,6
2013-07,24.7,16.4,1643.499,2
2013-07,78,35.4,318.5292,9
2013-07,36.5,27.3,337.6016,6
2013-07,11.2,17.4,6488.021,1
2013-07,31.3,6.2,1939.749,1
2013-12,38.8,39.6,480.6977,4
2013-12,15.9,13.6,4082.015,0
2013-12,50.7,1,193.5845,6
2013-12,26.5,18,1414.837,1
2013-12,36.8,30.8,377.7956,6
2013-12,12.2,30.9,6396.283,1
2013-12,13,13.6,4197.349,0
2013-12,39.4,11.6,390.5684,5
2013-12,22,8.9,3078.176,0
2013-12,36.6,22.8,707.9067,2
2013-12,26.6,18,1414.837,1
2013-12,12.8,16.5,4082.015,0
2013-12,22.3,19,1009.235,0
2013-12,23,17.6,837.7233,0
2013-12,34,19.1,461.1016,5
2013-12,32.9,19.2,461.1016,5
2013-12,33.1,12.9,187.4823,1
2013-12,19.2,13.6,4197.349,0
2013-12,37,13,750.0704,2
2013-12,46.6,33.5,563.2854,8
2013-12,42.3,13.2,492.2313,5
2013-12,41.5,33.9,157.6052,7
2013-12,29.3,16.3,3529.564,0
2013-12,46.6,18.3,82.88643,10
2013-12,40.3,16.9,967.4,4
2013-12,22.3,5.2,2408.993,0
2013-12,15.4,13.7,4082.015,0
2013-12,52.5,8.1,104.8101,5
